image_path,average_confidence
157423/1.txt,0.9164
157423\2.txt,0.9379
157423\3.txt,0.9365
157423\4.txt,0.9475
157423\5.txt,0.9274
157424\1.txt,0.846
157424\2.txt,0.8483
157424\3.txt,0.898
157424\4.txt,0.8429
157425\1.txt,0.8489
157425\2.txt,0.8704
157425\3.txt,0.8999
157425\4.txt,0.8789
157425\5.txt,0.7767
157426\1.txt,0.8387
157426\2.txt,0.8328
157426\3.txt,0.8663
157426\4.txt,0.8785
157426\5.txt,0.858
157426\6.txt,0.8672
157426\7.txt,0.8511
157427\1.txt,0.8663
157427\2.txt,0.8615
157427\3.txt,0.8557
157427\4.txt,0.7974
157427\5.txt,0.8146
157428\1.txt,0.8546
157428\2.txt,0.8814
157428\3.txt,0.8702
157428\4.txt,0.8839
157429\1.txt,0.9333
157429\2.txt,0.9484
157429\3.txt,0.9328
157430/1.txt,0.934
157430\2.txt,0.9232
157430\3.txt,0.9395
157430\4.txt,0.9257
157430\5.txt,0.935
157431/1.txt,0.8493
157431\2.txt,0.9378
157431\3.txt,0.9416
157431\4.txt,0.9268
157431\5.txt,0.9429
157431/6.txt,0.7472
157431\7.txt,0.9509
157431\8.txt,0.952
157431\9.txt,0.9011
157432/1.txt,0.8357
157432\2.txt,0.938
157432\3.txt,0.9406
157432\4.txt,0.9396
157432\5.txt,0.9469
157432\6.txt,0.9444
157433\1.txt,0.9102
157433\2.txt,0.9382
157433\3.txt,0.9438
157433\4.txt,0.9482
157433\5.txt,0.9344
157433\6.txt,0.9114
157434\1.txt,0.8873
157434\2.txt,0.8317
157434\3.txt,0.8323
157434\4.txt,0.9085
157434\5.txt,0.8789
157434\6.txt,0.8067
157434\7.txt,0.8687
157435/1.txt,0.8441
157435\2.txt,0.9463
157435\3.txt,0.9342
157435\4.txt,0.9408
157435\5.txt,0.9514
157436/1.txt,0.9054
157436\2.txt,0.932
157436\3.txt,0.9471
157437/1.txt,0.893
157437\2.txt,0.9292
157437\3.txt,0.9346
157437\4.txt,0.9436
157437\5.txt,0.9411
157437\6.txt,0.9279
157438\1.txt,0.9208
157438\2.txt,0.9461
157438\3.txt,0.9296
157439\1.txt,0.9245
157439\2.txt,0.9458
157439\3.txt,0.922
157440\1.txt,0.821
157440\2.txt,0.862
157440\3.txt,0.8299
157440\4.txt,0.8846
157440\5.txt,0.8795
157440\6.txt,0.8647
157440\7.txt,0.8677
157440\8.txt,0.8139
157441\1.txt,0.9077
157441\2.txt,0.9305
157441\3.txt,0.9513
157441\4.txt,0.9516
157441\5.txt,0.9236
157442\1.txt,0.8197
157442\2.txt,0.8492
157442\3.txt,0.8885
157442\4.txt,0.8374
157442\5.txt,0.8914
157442\6.txt,0.8786
157442\7.txt,0.8659
157442\8.txt,0.8436
157443/1.txt,0.8773
157443\2.txt,0.9392
157443\3.txt,0.9543
157443\4.txt,0.9315
157444/1.txt,0.8535
157444\2.txt,0.9462
157444\3.txt,0.9409
157444\4.txt,0.9465
157444\5.txt,0.9517
157444\6.txt,0.9111
